symbol,open,close,high,low,volume,changePercent,date,companyName,sector
NFLX,267.35,269.58,272.2,264.03,8786284,0.0,2019-10-01,NetFlix Inc,Information
NFLX,263.61,268.03,269.35,262.19,7773299,-0.0057,2019-10-02,NetFlix Inc,Information
NFLX,267.78,268.15,268.843,257.01,9068810,0.0004,2019-10-03,NetFlix Inc,Information
NFLX,268.2,272.79,275.4846,266.47,9992774,0.0173,2019-10-04,NetFlix Inc,Information
NFLX,271.99,274.46,276.68,271.28,6796811,0.0061,2019-10-07,NetFlix Inc,Information
NFLX,273.03,270.72,275.53,270.6427,6302269,-0.0136,2019-10-08,NetFlix Inc,Information
NFLX,270.02,267.53,271.0,264.57,6843488,-0.0118,2019-10-09,NetFlix Inc,Information
NFLX,265.97,280.48,280.53,265.0337,10961191,0.0484,2019-10-10,NetFlix Inc,Information
NFLX,284.8,282.93,287.87,275.8947,8817301,0.0087,2019-10-11,NetFlix Inc,Information
NFLX,283.93,285.53,286.93,282.0,5543120,0.0092,2019-10-14,NetFlix Inc,Information
NFLX,283.82,284.25,285.87,279.4,7728161,-0.0045,2019-10-15,NetFlix Inc,Information
NFLX,283.12,286.28,288.17,280.7431,18413335,0.0071,2019-10-16,NetFlix Inc,Information
NFLX,304.49,293.35,308.75,288.3001,38462343,0.0247,2019-10-17,NetFlix Inc,Information
NFLX,289.36,275.3,290.9,273.36,23449638,-0.0615,2019-10-18,NetFlix Inc,Information
NFLX,272.89,278.05,279.9399,269.0,12633959,0.01,2019-10-21,NetFlix Inc,Information
NFLX,271.159,266.69,275.41,265.8,11865593,-0.0409,2019-10-22,NetFlix Inc,Information
NFLX,268.06,271.27,273.92,266.63,7154430,0.0172,2019-10-23,NetFlix Inc,Information
NFLX,271.81,271.5,274.02,268.8,4911033,0.0008,2019-10-24,NetFlix Inc,Information
NFLX,270.68,276.82,277.77,270.18,4747829,0.0196,2019-10-25,NetFlix Inc,Information
NFLX,278.05,281.86,285.75,277.35,6248433,0.0182,2019-10-28,NetFlix Inc,Information
NFLX,281.87,281.21,284.41,277.545,4356181,-0.0023,2019-10-29,NetFlix Inc,Information
NFLX,284.34,291.45,293.49,283.0,9345562,0.0364,2019-10-30,NetFlix Inc,Information
NFLX,291.0,287.41,291.45,284.78,5090021,-0.0139,2019-10-31,NetFlix Inc,Information
NFLX,288.7,286.81,289.12,283.02,5594293,-0.0021,2019-11-01,NetFlix Inc,Information
NFLX,288.0,292.86,295.39,287.16,5566213,0.0211,2019-11-04,NetFlix Inc,Information
NFLX,289.99,288.03,291.19,286.31,4062370,-0.0165,2019-11-05,NetFlix Inc,Information
NFLX,288.19,288.59,290.56,285.84,3438257,0.0019,2019-11-06,NetFlix Inc,Information
NFLX,290.7,289.57,298.19,288.2679,5928471,0.0034,2019-11-07,NetFlix Inc,Information
NFLX,288.73,291.57,293.99,287.505,4509588,0.0069,2019-11-08,NetFlix Inc,Information
NFLX,289.16,294.18,296.36,288.5,3945885,0.009,2019-11-11,NetFlix Inc,Information
NFLX,295.32,292.01,295.345,288.7,5774833,-0.0074,2019-11-12,NetFlix Inc,Information
NFLX,291.03,283.11,293.41,281.14,9233066,-0.0305,2019-11-13,NetFlix Inc,Information
NFLX,283.25,289.62,290.63,283.22,6539771,0.023,2019-11-14,NetFlix Inc,Information
NFLX,290.59,295.03,295.8186,287.568,6337779,0.0187,2019-11-15,NetFlix Inc,Information
NFLX,296.0,302.57,304.99,293.28,8621566,0.0256,2019-11-18,NetFlix Inc,Information
NFLX,304.01,302.6,305.6699,298.5201,5919710,0.0001,2019-11-19,NetFlix Inc,Information
NFLX,301.01,305.16,308.25,301.0,5115546,0.0085,2019-11-20,NetFlix Inc,Information
NFLX,306.0,311.69,312.69,304.2622,7488373,0.0214,2019-11-21,NetFlix Inc,Information
NFLX,309.1,310.48,311.4,304.41,5970056,-0.0039,2019-11-22,NetFlix Inc,Information
NFLX,308.83,315.55,315.73,305.25,7878943,0.0163,2019-11-25,NetFlix Inc,Information
NFLX,315.0,312.49,316.5,311.69,5328348,-0.0097,2019-11-26,NetFlix Inc,Information
NFLX,313.93,315.93,316.82,312.75,4100975,0.011,2019-11-27,NetFlix Inc,Information
NFLX,315.78,314.66,316.62,313.34,2411749,-0.004,2019-11-29,NetFlix Inc,Information
NFLX,314.39,309.99,314.39,303.75,6223135,-0.0148,2019-12-02,NetFlix Inc,Information
NFLX,302.22,306.16,307.36,301.88,5272447,-0.0124,2019-12-03,NetFlix Inc,Information
NFLX,308.43,304.32,308.43,303.2727,3513551,-0.006,2019-12-04,NetFlix Inc,Information
NFLX,305.27,302.86,306.48,298.81,4618867,-0.0048,2019-12-05,NetFlix Inc,Information
NFLX,304.7,307.35,307.8495,302.6,4459684,0.0148,2019-12-06,NetFlix Inc,Information
NFLX,307.35,302.5,311.49,302.44,5766006,-0.0158,2019-12-09,NetFlix Inc,Information
NFLX,296.12,293.12,298.94,292.02,10481239,-0.031,2019-12-10,NetFlix Inc,Information
NFLX,294.49,298.93,299.43,294.2,5607155,0.0198,2019-12-11,NetFlix Inc,Information
NFLX,295.67,298.44,299.165,295.06,4771404,-0.0016,2019-12-12,NetFlix Inc,Information
NFLX,298.5,298.5,301.8,297.25,3883069,0.0002,2019-12-13,NetFlix Inc,Information
NFLX,300.85,304.21,305.71,298.63,4660166,0.0191,2019-12-16,NetFlix Inc,Information
NFLX,307.36,315.48,316.8,306.6,10437127,0.037,2019-12-17,NetFlix Inc,Information
NFLX,316.26,320.8,325.36,315.6,11210737,0.0169,2019-12-18,NetFlix Inc,Information
NFLX,324.5,332.22,332.83,324.18,9833355,0.0356,2019-12-19,NetFlix Inc,Information
NFLX,335.0,336.9,338.0,330.6,9923260,0.0141,2019-12-20,NetFlix Inc,Information
NFLX,337.76,333.1,337.95,331.0201,5767937,-0.0113,2019-12-23,NetFlix Inc,Information
NFLX,334.01,333.2,335.7,331.6,2019322,0.0003,2019-12-24,NetFlix Inc,Information
NFLX,334.6,332.63,336.4623,332.01,3595854,-0.0017,2019-12-26,NetFlix Inc,Information
NFLX,332.96,329.09,333.82,326.01,5037156,-0.0106,2019-12-27,NetFlix Inc,Information
NFLX,329.08,323.31,329.185,322.86,4315267,-0.0176,2019-12-30,NetFlix Inc,Information
NFLX,322.0,323.57,324.916,321.09,3714837,0.0008,2019-12-31,NetFlix Inc,Information
SCHW,39.8,37.76,39.876,36.92,35786402,0.0,2019-10-01,Charles Schwab Corp.,Finance and Insurance
SCHW,37.21,36.51,37.36,36.41,20983511,-0.0331,2019-10-02,Charles Schwab Corp.,Finance and Insurance
SCHW,36.14,35.1,36.43,34.92,24606500,-0.0386,2019-10-03,Charles Schwab Corp.,Finance and Insurance
SCHW,35.1,35.67,35.79,35.077,14484509,0.0162,2019-10-04,Charles Schwab Corp.,Finance and Insurance
SCHW,35.87,35.45,36.145,35.44,10404789,-0.0062,2019-10-07,Charles Schwab Corp.,Finance and Insurance
SCHW,35.0,35.23,35.415,34.58,13205959,-0.0062,2019-10-08,Charles Schwab Corp.,Finance and Insurance
SCHW,35.59,35.67,36.0599,35.49,14299734,0.0125,2019-10-09,Charles Schwab Corp.,Finance and Insurance
SCHW,36.2,36.14,36.58,35.99,13075047,0.0132,2019-10-10,Charles Schwab Corp.,Finance and Insurance
SCHW,36.99,37.28,37.71,36.82,11354443,0.0315,2019-10-11,Charles Schwab Corp.,Finance and Insurance
SCHW,37.03,37.72,37.83,37.03,9574076,0.0118,2019-10-14,Charles Schwab Corp.,Finance and Insurance
SCHW,38.97,39.74,40.23,38.27,12858469,0.0536,2019-10-15,Charles Schwab Corp.,Finance and Insurance
SCHW,38.68,39.02,39.57,38.67,13131328,-0.0181,2019-10-16,Charles Schwab Corp.,Finance and Insurance
SCHW,39.56,39.45,39.725,39.2,7087623,0.011,2019-10-17,Charles Schwab Corp.,Finance and Insurance
SCHW,39.43,39.94,40.05,39.43,7582813,0.0124,2019-10-18,Charles Schwab Corp.,Finance and Insurance
SCHW,40.53,40.9,41.01,40.23,7694384,0.024,2019-10-21,Charles Schwab Corp.,Finance and Insurance
SCHW,40.89,40.92,41.435,40.635,7267852,0.0005,2019-10-22,Charles Schwab Corp.,Finance and Insurance
SCHW,40.77,41.37,41.535,40.65,6002279,0.011,2019-10-23,Charles Schwab Corp.,Finance and Insurance
SCHW,41.42,40.99,41.48,40.58,6364753,-0.0092,2019-10-24,Charles Schwab Corp.,Finance and Insurance
SCHW,40.75,40.98,41.26,40.61,3928346,-0.0002,2019-10-25,Charles Schwab Corp.,Finance and Insurance
SCHW,41.18,41.48,41.77,41.05,5534541,0.0122,2019-10-28,Charles Schwab Corp.,Finance and Insurance
SCHW,41.18,40.96,41.595,40.865,5708320,-0.0125,2019-10-29,Charles Schwab Corp.,Finance and Insurance
SCHW,40.75,41.3,41.66,40.45,5284737,0.0083,2019-10-30,Charles Schwab Corp.,Finance and Insurance
SCHW,41.05,40.71,41.3,40.01,7119772,-0.0143,2019-10-31,Charles Schwab Corp.,Finance and Insurance
SCHW,41.21,41.78,42.02,41.19,6580669,0.0263,2019-11-01,Charles Schwab Corp.,Finance and Insurance
SCHW,42.26,43.22,43.315,42.1,8446466,0.0345,2019-11-04,Charles Schwab Corp.,Finance and Insurance
SCHW,43.25,43.42,43.695,42.67,8986192,0.0046,2019-11-05,Charles Schwab Corp.,Finance and Insurance
SCHW,43.28,43.08,43.56,42.97,4888356,-0.0078,2019-11-06,Charles Schwab Corp.,Finance and Insurance
SCHW,43.53,43.5,43.85,43.29,5835032,0.0097,2019-11-07,Charles Schwab Corp.,Finance and Insurance
